ts,phase,scheme,basin,ok,n,win_rate,mean_improvement_cfs,mae_base,mae_new,mae_delta_pct
2026-05-29T18:49:45.524621+00:00,weighted,outlet_2x,yampa_steamboat,True,35,0.11428571428571428,-13.571428571428598,616.4238095238095,629.9952380952382,2.201639255614196
2026-05-29T18:50:01.786261+00:00,weighted,outlet_2x,clear_creek_golden,True,35,0.22857142857142856,-2.433333333333329,214.81904761904767,217.252380952381,1.132736300762548
2026-05-29T18:50:26.195211+00:00,weighted,outlet_2x,green_green_river_ut,True,35,0.2857142857142857,10.380952380952126,4011.666666666667,4001.285714285714,-0.25876906641344616
2026-05-29T18:50:45.013042+00:00,weighted,outlet_3x,yampa_steamboat,True,35,0.2,1.1428571428571235,616.4238095238095,615.2809523809524,-0.1854012004727678
2026-05-29T18:51:01.279203+00:00,weighted,outlet_3x,clear_creek_golden,True,35,0.2,-24.1142857142857,214.81904761904767,238.9333333333333,11.225394573505906
2026-05-29T18:51:25.861143+00:00,weighted,outlet_3x,green_green_river_ut,True,35,0.2571428571428571,-257.7619047619048,4011.666666666667,4269.428571428572,6.425307139889602
2026-05-29T18:51:44.759515+00:00,weighted,swe_2x,yampa_steamboat,True,35,0.22857142857142856,-5.190476190476183,616.4238095238095,621.6142857142858,0.8420304521471892
2026-05-29T18:52:01.071058+00:00,weighted,swe_2x,clear_creek_golden,True,35,0.2571428571428571,15.628571428571442,214.81904761904767,199.19047619047623,-7.2752261039191355
2026-05-29T18:52:25.221857+00:00,weighted,swe_2x,green_green_river_ut,True,35,0.17142857142857143,338.57142857142856,4011.666666666667,3673.0952380952376,-8.439670010089637
2026-05-29T18:52:43.108259+00:00,weighted,swe_3x,yampa_steamboat,True,35,0.3142857142857143,-0.9999999999999934,616.4238095238095,617.4238095238096,0.16222605041369487
2026-05-29T18:53:00.512033+00:00,weighted,swe_3x,clear_creek_golden,True,35,0.34285714285714286,16.661904761904772,214.81904761904767,198.15714285714287,-7.756251108352558
2026-05-29T18:53:25.283787+00:00,weighted,swe_3x,green_green_river_ut,True,35,0.17142857142857143,114.23809523809534,4011.666666666667,3897.4285714285716,-2.8476467446139275
2026-05-29T18:53:42.958749+00:00,weighted,contributors_half,yampa_steamboat,True,35,0.0,0.0,616.4238095238095,616.4238095238095,0.0
2026-05-29T18:53:59.258998+00:00,weighted,contributors_half,clear_creek_golden,True,35,0.0,0.0,214.81904761904767,214.81904761904767,0.0
2026-05-29T18:54:23.077118+00:00,weighted,contributors_half,green_green_river_ut,True,35,0.08571428571428572,-261.4285714285714,4011.666666666667,4273.095238095238,6.516707222980572
2026-05-29T18:54:41.214183+00:00,weighted,downweight_n_stations,yampa_steamboat,True,35,0.22857142857142856,-26.476190476190492,616.4238095238095,642.9,4.295127810952577
2026-05-29T18:54:57.478423+00:00,weighted,downweight_n_stations,clear_creek_golden,True,35,0.0,0.0,214.81904761904767,214.81904761904767,0.0
2026-05-29T18:55:21.280111+00:00,weighted,downweight_n_stations,green_green_river_ut,True,35,0.2857142857142857,241.0476190476191,4011.666666666667,3770.6190476190473,-6.008665202682669
2026-05-29T18:55:52.537365+00:00,gbm,gbm_default,yampa_steamboat,True,35,0.45714285714285713,-140.75288913478934,616.4238095238095,757.176698658599,22.83378528865097
2026-05-29T18:56:10.939399+00:00,gbm,gbm_default,clear_creek_golden,True,35,0.4,-54.3343078506647,214.81904761904767,269.1533554697124,25.293058717502188
2026-05-29T18:56:38.488226+00:00,gbm,gbm_default,green_green_river_ut,True,35,0.5428571428571428,-92.63397998257688,4011.666666666667,4104.3006466492425,2.3091145820334567
