ts,feature,basin,n,win_rate,mean_improvement_cfs,mae_base,mae_new,mae_delta_pct,ok
2026-05-29T18:26:08.148144,outlet_log_recession_rate,yampa_steamboat,35,0.14285714285714285,-19.619047619047613,616.4238095238095,636.0428571428571,3.1827206081159334,True
2026-05-29T18:26:24.733514,outlet_log_recession_rate,clear_creek_golden,35,0.2857142857142857,-9.09523809523808,214.81904761904767,223.91428571428574,4.23390672104982,True
2026-05-29T18:26:48.322256,outlet_log_recession_rate,green_green_river_ut,35,0.17142857142857143,-388.47619047619054,4011.666666666667,4400.142857142856,9.683660751379866,True
2026-05-29T18:27:07.103549,outlet_doy_since_peak,yampa_steamboat,35,0.2571428571428571,11.19047619047616,616.4238095238095,605.2333333333333,-1.8153867546292293,True
2026-05-29T18:27:23.506538,outlet_doy_since_peak,clear_creek_golden,35,0.2857142857142857,-4.876190476190465,214.81904761904767,219.6952380952381,2.269906011704181,True
2026-05-29T18:27:48.109836,outlet_doy_since_peak,green_green_river_ut,35,0.05714285714285714,-432.85714285714283,4011.666666666667,4444.52380952381,10.789957861000659,True
2026-05-29T18:28:05.982831,outlet_peak_so_far,yampa_steamboat,35,0.14285714285714285,2.133333333333329,616.4238095238095,614.2904761904763,-0.34608224088249007,True
2026-05-29T18:28:22.242082,outlet_peak_so_far,clear_creek_golden,35,0.14285714285714285,-3.138095238095236,214.81904761904767,217.95714285714288,1.46080865401666,True
2026-05-29T18:28:46.476365,outlet_peak_so_far,green_green_river_ut,35,0.17142857142857143,121.19047619047633,4011.666666666667,3890.4761904761904,-3.0209507982669694,True
2026-05-29T18:29:03.648321,outlet_volume_to_date,yampa_steamboat,35,0.11428571428571428,-43.190476190476225,616.4238095238095,659.6142857142858,7.006620367866893,True
2026-05-29T18:29:19.281820,outlet_volume_to_date,clear_creek_golden,35,0.14285714285714285,-9.519047619047624,214.81904761904767,224.3380952380953,4.431193474020219,True
2026-05-29T18:29:42.090208,outlet_volume_to_date,green_green_river_ut,35,0.17142857142857143,-103.90476190476188,4011.666666666667,4115.571428571428,2.5900646922665924,True
2026-05-29T18:29:59.429653,outlet_volatility,yampa_steamboat,35,0.2857142857142857,-26.66666666666665,616.4238095238095,643.0904761904762,4.326028011031384,True
2026-05-29T18:30:15.367868,outlet_volatility,clear_creek_golden,35,0.3142857142857143,-1.2047619047618972,214.81904761904767,216.02380952380955,0.5608263876573748,True
2026-05-29T18:30:38.526332,outlet_volatility,green_green_river_ut,35,0.11428571428571428,-500.66666666666663,4011.666666666667,4512.333333333333,12.480265891150793,True
2026-05-29T18:30:59.507570,swe_trend,yampa_steamboat,35,0.2,-11.619047619047608,616.4238095238095,628.0428571428571,1.8849122048065219,True
2026-05-29T18:31:16.769485,swe_trend,clear_creek_golden,35,0.42857142857142855,3.0761904761904915,214.81904761904767,211.74285714285716,-1.4319914878524689,True
2026-05-29T18:31:50.962710,swe_trend,green_green_river_ut,35,0.11428571428571428,-63.666666666666764,4011.666666666667,4075.333333333333,1.5870378063979906,True
2026-05-29T18:32:09.332584,swe_peak_to_date,yampa_steamboat,35,0.22857142857142856,10.428571428571432,616.4238095238095,605.9952380952382,-1.6917859543140383,True
2026-05-29T18:32:25.788878,swe_peak_to_date,clear_creek_golden,35,0.22857142857142856,-2.2571428571428602,214.81904761904767,217.07619047619053,1.0507182124490202,True
2026-05-29T18:32:50.933723,swe_peak_to_date,green_green_river_ut,35,0.08571428571428572,62.33333333333339,4011.666666666667,3949.333333333333,-1.5538014125467536,True
2026-05-29T18:33:09.423779,swe_doy_since_peak,yampa_steamboat,35,0.17142857142857143,16.771428571428558,616.4238095238095,599.652380952381,-2.720762616937931,True
2026-05-29T18:33:27.304759,swe_doy_since_peak,clear_creek_golden,35,0.2,-6.109523809523801,214.81904761904767,220.92857142857144,2.844032629898903,True
2026-05-29T18:33:53.059964,swe_doy_since_peak,green_green_river_ut,35,0.11428571428571428,-177.2857142857141,4011.666666666667,4188.952380952381,4.4192533681523996,True
2026-05-29T18:34:12.999013,climate_enso_3mo,yampa_steamboat,35,0.22857142857142856,-11.666666666666652,616.4238095238095,628.0904761904761,1.892637254826219,True
2026-05-29T18:34:31.351419,climate_enso_3mo,clear_creek_golden,35,0.2571428571428571,-15.266666666666664,214.81904761904767,230.08571428571432,7.106756517112954,True
2026-05-29T18:34:57.041919,climate_enso_3mo,green_green_river_ut,35,0.08571428571428572,-435.8571428571429,4011.666666666667,4447.523809523808,10.864739747165965,True
2026-05-29T18:35:17.056392,climate_pdo_3mo,yampa_steamboat,35,0.2,-68.33333333333331,616.4238095238095,684.7571428571428,11.085446778267878,True
2026-05-29T18:35:35.615760,climate_pdo_3mo,clear_creek_golden,35,0.37142857142857144,3.4047619047619135,214.81904761904767,211.41428571428574,-1.5849441390317531,True
2026-05-29T18:36:01.433527,climate_pdo_3mo,green_green_river_ut,35,0.17142857142857143,-121.14285714285704,4011.666666666667,4132.809523809524,3.019763784200836,True
2026-05-29T18:36:21.309403,climate_amo_3mo,yampa_steamboat,35,0.2571428571428571,-59.94285714285714,616.4238095238095,676.3666666666668,9.724292964796971,True
2026-05-29T18:36:39.657390,climate_amo_3mo,clear_creek_golden,35,0.3142857142857143,1.7714285714285845,214.81904761904767,213.0476190476191,-0.8246142933144176,True
